Alta Floresta D´oeste, RO, Brasil
Ariquemes, RO, Brasil
Cabixi, RO, Brasil
Cacoal, RO, Brasil
Cerejeiras, RO, Brasil
Colorado do Oeste, RO, Brasil
Corumbiara, RO, Brasil
Costa Marques, RO, Brasil
Espigão D´oeste, RO, Brasil
Guajará-mirim, RO, Brasil
Jaru, RO, Brasil
Ji-paraná, RO, Brasil
Machadinho D´oeste, RO, Brasil
Nova Brasilândia D´oeste, RO, Brasil
Ouro Preto do Oeste, RO, Brasil
Pimenta Bueno, RO, Brasil
Porto Velho, RO, Brasil
Presidente Médici, RO, Brasil
Rio Crespo, RO, Brasil
Rolim de Moura, RO, Brasil
Santa Luzia D´oeste, RO, Brasil
Vilhena, RO, Brasil
São Miguel do Guaporé, RO, Brasil
Nova Mamoré, RO, Brasil
Alvorada D´oeste, RO, Brasil
Alto Alegre Dos Parecis, RO, Brasil
Alto Paraíso, RO, Brasil
Buritis, RO, Brasil
Novo Horizonte do Oeste, RO, Brasil
Cacaulândia, RO, Brasil
Campo Novo de Rondônia, RO, Brasil
Candeias do Jamari, RO, Brasil
Castanheiras, RO, Brasil
Chupinguaia, RO, Brasil
Cujubim, RO, Brasil
Governador Jorge Teixeira, RO, Brasil
Itapuã do Oeste, RO, Brasil
Ministro Andreazza, RO, Brasil
Mirante da Serra, RO, Brasil
Monte Negro, RO, Brasil
Nova União, RO, Brasil
Parecis, RO, Brasil
Pimenteiras do Oeste, RO, Brasil
Primavera de Rondônia, RO, Brasil
São Felipe D´oeste, RO, Brasil
São Francisco do Guaporé, RO, Brasil
Seringueiras, RO, Brasil
Teixeirópolis, RO, Brasil
Theobroma, RO, Brasil
Urupá, RO, Brasil
Vale do Anari, RO, Brasil
Vale do Paraíso, RO, Brasil
Acrelândia, AC, Brasil
Assis Brasil, AC, Brasil
Brasiléia, AC, Brasil
Bujari, AC, Brasil
Capixaba, AC, Brasil
Cruzeiro do Sul, AC, Brasil
Epitaciolândia, AC, Brasil
Feijó, AC, Brasil
Jordão, AC, Brasil
Mâncio Lima, AC, Brasil
Manoel Urbano, AC, Brasil
Marechal Thaumaturgo, AC, Brasil
Plácido de Castro, AC, Brasil
Porto Walter, AC, Brasil
Rio Branco, AC, Brasil
Rodrigues Alves, AC, Brasil
Santa Rosa do Purus, AC, Brasil
Senador Guiomard, AC, Brasil
Sena Madureira, AC, Brasil
Tarauacá, AC, Brasil
Xapuri, AC, Brasil
Porto Acre, AC, Brasil
Alvarães, AM, Brasil
Amaturá, AM, Brasil
Anamã, AM, Brasil
Anori, AM, Brasil
Apuí, AM, Brasil
Atalaia do Norte, AM, Brasil
Autazes, AM, Brasil
Barcelos, AM, Brasil
Barreirinha, AM, Brasil
Benjamin Constant, AM, Brasil
Beruri, AM, Brasil
Boa Vista do Ramos, AM, Brasil
Boca do Acre, AM, Brasil
Borba, AM, Brasil
Caapiranga, AM, Brasil
Canutama, AM, Brasil
Carauari, AM, Brasil
Careiro, AM, Brasil
Careiro da Várzea, AM, Brasil
Coari, AM, Brasil
Codajás, AM, Brasil
Eirunepé, AM, Brasil
Envira, AM, Brasil
Fonte Boa, AM, Brasil
Guajará, AM, Brasil
Humaitá, AM, Brasil
Ipixuna, AM, Brasil
Iranduba, AM, Brasil
Itacoatiara, AM, Brasil
Itamarati, AM, Brasil
Itapiranga, AM, Brasil
Japurá, AM, Brasil
Juruá, AM, Brasil
Jutaí, AM, Brasil
Lábrea, AM, Brasil
Manacapuru, AM, Brasil
Manaquiri, AM, Brasil
Manaus, AM, Brasil
Manicoré, AM, Brasil
Maraã, AM, Brasil
Maués, AM, Brasil
Nhamundá, AM, Brasil
Nova Olinda do Norte, AM, Brasil
Novo Airão, AM, Brasil
Novo Aripuanã, AM, Brasil
Parintins, AM, Brasil
Pauini, AM, Brasil
Presidente Figueiredo, AM, Brasil
Rio Preto da Eva, AM, Brasil
Santa Isabel do Rio Negro, AM, Brasil
Santo Antônio do Içá, AM, Brasil
São Gabriel da Cachoeira, AM, Brasil
São Paulo de Olivença, AM, Brasil
São Sebastião do Uatumã, AM, Brasil
Silves, AM, Brasil
Tabatinga, AM, Brasil
Tapauá, AM, Brasil
Tefé, AM, Brasil
Tonantins, AM, Brasil
Uarini, AM, Brasil
Urucará, AM, Brasil
Urucurituba, AM, Brasil
Amajari, RR, Brasil
Alto Alegre, RR, Brasil
Boa Vista, RR, Brasil
Bonfim, RR, Brasil
Cantá, RR, Brasil
Caracaraí, RR, Brasil
Caroebe, RR, Brasil
Iracema, RR, Brasil
Mucajaí, RR, Brasil
Normandia, RR, Brasil
Pacaraima, RR, Brasil
Rorainópolis, RR, Brasil
São João da Baliza, RR, Brasil
São Luiz, RR, Brasil
Uiramutã, RR, Brasil
